EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 18-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, SOLTAU (STAID: 4652).
Blended and updated with sources: 128914 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
128914,18911129,    0,    0
128914,18911130,   15,    0
128914,18911201,    0,    0
128914,18911202,    8,    0
128914,18911203,    1,    0
128914,18911204,   55,    0
128914,18911205,    8,    0
128914,18911206,   57,    0
128914,18911207,   60,    0
128914,18911208,   12,    0
128914,18911209,   13,    0
128914,18911210,  143,    0
128914,18911211,  100,    0
128914,18911212,   23,    0
128914,18911213,  138,    0
128914,18911214,   27,    0
128914,18911215,   72,    0
128914,18911216,  120,    0
128914,18911217,    7,    0
128914,18911218,    0,    0
128914,18911219,    0,    0
128914,18911220,    0,    0
128914,18911221,    0,    0
128914,18911222,    0,    0
128914,18911223,    0,    0
128914,18911224,    0,    0
128914,18911225,    9,    0
128914,18911226,    0,    0
128914,18911227,    1,    0
128914,18911228,    0,    0
128914,18911229,   54,    0
128914,18911230,   65,    0
128914,18911231,  125,    0
128914,18920101,   22,    0
128914,18920102,   20,    0
128914,18920103,   13,    0
128914,18920104,   18,    0
128914,18920105,   58,    0
128914,18920106,   71,    0
128914,18920107,   33,    0
128914,18920108,    0,    0
128914,18920109,   36,    0
128914,18920110,    3,    0
128914,18920111,   45,    0
128914,18920112,   13,    0
128914,18920113,    4,    0
128914,18920114,    0,    0
128914,18920115,    0,    0
128914,18920116,    0,    0
128914,18920117,    0,    0
128914,18920118,    0,    0
128914,18920119,    0,    0
128914,18920120,    0,    0
128914,18920121,    0,    0
128914,18920122,   69,    0
128914,18920123,    3,    0
128914,18920124,   10,    0
128914,18920125,    8,    0
128914,18920126,    0,    0
128914,18920127,   77,    0
128914,18920128,   62,    0
128914,18920129,   63,    0
128914,18920130,    3,    0
128914,18920131,    0,    0
128914,18920201,    0,    0
128914,18920202,    7,    0
128914,18920203,   20,    0
128914,18920204,   34,    0
128914,18920205,   58,    0
128914,18920206,    7,    0
128914,18920207,  128,    0
128914,18920208,   28,    0
128914,18920209,    0,    0
128914,18920210,   37,    0
128914,18920211,    8,    0
128914,18920212,   12,    0
128914,18920213,    0,    0
128914,18920214,    0,    0
128914,18920215,    0,    0
128914,18920216,    4,    0
128914,18920217,    0,    0
128914,18920218,   30,    0
128914,18920219,   15,    0
128914,18920220,    4,    0
128914,18920221,    0,    0
128914,18920222,    0,    0
128914,18920223,    0,    0
128914,18920224,    0,    0
128914,18920225,   18,    0
128914,18920226,    5,    0
128914,18920227,   28,    0
128914,18920228,    0,    0
128914,18920229,    0,    0
128914,18920301,    0,    0
128914,18920302,    2,    0
128914,18920303,    0,    0
128914,18920304,    0,    0
128914,18920305,    4,    0
128914,18920306,    1,    0
128914,18920307,    0,    0
128914,18920308,    0,    0
128914,18920309,    0,    0
128914,18920310,    7,    0
128914,18920311,   97,    0
128914,18920312,   68,    0
128914,18920313,    0,    0
128914,18920314,    0,    0
128914,18920315,    0,    0
128914,18920316,    0,    0
128914,18920317,    0,    0
128914,18920318,    0,    0
128914,18920319,    0,    0
128914,18920320,    0,    0
128914,18920321,    0,    0
128914,18920322,    0,    0
128914,18920323,    0,    0
128914,18920324,    0,    0
128914,18920325,    0,    0
128914,18920326,   48,    0
128914,18920327,   60,    0
128914,18920328,  102,    0
128914,18920329,    0,    0
128914,18920330,    0,    0
128914,18920331,    0,    0
128914,18920401,    0,    0
128914,18920402,    0,    0
128914,18920403,    0,    0
128914,18920404,    0,    0
128914,18920405,    0,    0
128914,18920406,    0,    0
128914,18920407,    0,    0
128914,18920408,    0,    0
128914,18920409,    0,    0
128914,18920410,    0,    0
128914,18920411,    0,    0
128914,18920412,    0,    0
128914,18920413,    0,    0
128914,18920414,    0,    0
128914,18920415,    0,    0
128914,18920416,   33,    0
128914,18920417,    5,    0
128914,18920418,    0,    0
128914,18920419,    0,    0
128914,18920420,    0,    0
128914,18920421,    3,    0
128914,18920422,   17,    0
128914,18920423,    9,    0
128914,18920424,    0,    0
128914,18920425,   55,    0
128914,18920426,   20,    0
128914,18920427,    0,    0
128914,18920428,    0,    0
128914,18920429,   28,    0
128914,18920430,    0,    0
128914,18920501,    8,    0
128914,18920502,  116,    0
128914,18920503,    0,    0
128914,18920504,    0,    0
128914,18920505,   84,    0
128914,18920506,   12,    0
128914,18920507,    0,    0
128914,18920508,    0,    0
128914,18920509,    0,    0
128914,18920510,    0,    0
128914,18920511,    0,    0
128914,18920512,    0,    0
128914,18920513,    0,    0
128914,18920514,    1,    0
128914,18920515,   13,    0
128914,18920516,   17,    0
128914,18920517,   28,    0
128914,18920518,   13,    0
128914,18920519,   70,    0
128914,18920520,  133,    0
128914,18920521,    0,    0
128914,18920522,    0,    0
128914,18920523,    0,    0
128914,18920524,    0,    0
128914,18920525,    0,    0
128914,18920526,    0,    0
128914,18920527,    0,    0
128914,18920528,    0,    0
128914,18920529,    2,    0
128914,18920530,    0,    0
128914,18920531,    0,    0
128914,18920601,   58,    0
128914,18920602,   24,    0
128914,18920603,   10,    0
128914,18920604,    0,    0
128914,18920605,   42,    0
128914,18920606,    3,    0
128914,18920607,    0,    0
128914,18920608,    0,    0
128914,18920609,    0,    0
128914,18920610,   51,    0
128914,18920611,   15,    0
128914,18920612,   52,    0
128914,18920613,   40,    0
128914,18920614,    0,    0
128914,18920615,    0,    0
128914,18920616,    0,    0
128914,18920617,   52,    0
128914,18920618,    6,    0
128914,18920619,   14,    0
128914,18920620,    4,    0
128914,18920621,   12,    0
128914,18920622,   61,    0
128914,18920623,  124,    0
128914,18920624,   67,    0
128914,18920625,    4,    0
128914,18920626,    3,    0
128914,18920627,    0,    0
128914,18920628,    0,    0
128914,18920629,   38,    0
128914,18920630,    0,    0
128914,18920701,   21,    0
128914,18920702,    0,    0
128914,18920703,   19,    0
128914,18920704,   11,    0
128914,18920705,    2,    0
128914,18920706,   52,    0
128914,18920707,   37,    0
128914,18920708,    5,    0
128914,18920709,    0,    0
128914,18920710,    8,    0
128914,18920711,    0,    0
128914,18920712,    0,    0
128914,18920713,   19,    0
128914,18920714,   11,    0
128914,18920715,   26,    0
128914,18920716,    0,    0
128914,18920717,    0,    0
128914,18920718,   54,    0
128914,18920719,    0,    0
128914,18920720,    0,    0
128914,18920721,    0,    0
128914,18920722,    2,    0
128914,18920723,    0,    0
128914,18920724,    0,    0
128914,18920725,    0,    0
128914,18920726,    0,    0
128914,18920727,    0,    0
128914,18920728,    0,    0
128914,18920729,    0,    0
128914,18920730,    0,    0
128914,18920731,    0,    0
128914,18920801,   74,    0
128914,18920802,  106,    0
128914,18920803,   22,    0
128914,18920804,   50,    0
128914,18920805,    3,    0
128914,18920806,    0,    0
128914,18920807,   14,    0
128914,18920808,    0,    0
128914,18920809,   68,    0
128914,18920810,    0,    0
128914,18920811,    0,    0
128914,18920812,    0,    0
128914,18920813,    1,    0
128914,18920814,    0,    0
128914,18920815,    0,    0
128914,18920816,    0,    0
128914,18920817,    0,    0
128914,18920818,    0,    0
128914,18920819,    0,    0
128914,18920820,    1,    0
128914,18920821,    0,    0
128914,18920822,    0,    0
128914,18920823,   54,    0
128914,18920824,    0,    0
128914,18920825,   57,    0
128914,18920826,    0,    0
128914,18920827,    0,    0
128914,18920828,   42,    0
128914,18920829,    0,    0
128914,18920830,  101,    0
128914,18920831,    0,    0
128914,18920901,   10,    0
128914,18920902,   23,    0
128914,18920903,    3,    0
128914,18920904,    2,    0
128914,18920905,    3,    0
128914,18920906,    0,    0
128914,18920907,   27,    0
128914,18920908,   60,    0
128914,18920909,    0,    0
128914,18920910,    8,    0
128914,18920911,   23,    0
128914,18920912,    1,    0
128914,18920913,    7,    0
128914,18920914,    1,    0
128914,18920915,    0,    0
128914,18920916,   24,    0
128914,18920917,  142,    0
128914,18920918,    0,    0
128914,18920919,    0,    0
128914,18920920,   93,    0
128914,18920921,    0,    0
128914,18920922,  104,    0
128914,18920923,    0,    0
128914,18920924,    1,    0
128914,18920925,    0,    0
128914,18920926,    0,    0
128914,18920927,   23,    0
128914,18920928,   32,    0
128914,18920929,    0,    0
128914,18920930,    0,    0
128914,18921001,   70,    0
128914,18921002,    5,    0
128914,18921003,    0,    0
128914,18921004,    0,    0
128914,18921005,    0,    0
128914,18921006,    6,    0
128914,18921007,   16,    0
128914,18921008,    3,    0
128914,18921009,   36,    0
128914,18921010,   67,    0
128914,18921011,    0,    0
128914,18921012,    6,    0
128914,18921013,    0,    0
128914,18921014,    0,    0
128914,18921015,   60,    0
128914,18921016,    0,    0
128914,18921017,   29,    0
128914,18921018,   15,    0
128914,18921019,   15,    0
128914,18921020,   10,    0
128914,18921021,    0,    0
128914,18921022,   58,    0
128914,18921023,   55,    0
128914,18921024,    7,    0
128914,18921025,    0,    0
128914,18921026,    0,    0
128914,18921027,    0,    0
128914,18921028,    0,    0
128914,18921029,    1,    0
128914,18921030,    0,    0
128914,18921031,    0,    0
128914,18921101,   12,    0
128914,18921102,   18,    0
128914,18921103,   16,    0
128914,18921104,    1,    0
128914,18921105,    0,    0
128914,18921106,    0,    0
128914,18921107,    0,    0
128914,18921108,    0,    0
128914,18921109,    0,    0
128914,18921110,    0,    0
128914,18921111,    0,    0
128914,18921112,    0,    0
128914,18921113,    0,    0
128914,18921114,    0,    0
128914,18921115,    0,    0
128914,18921116,    0,    0
128914,18921117,    0,    0
128914,18921118,    0,    0
128914,18921119,    0,    0
128914,18921120,    0,    0
128914,18921121,    0,    0
128914,18921122,    1,    0
128914,18921123,    0,    0
128914,18921124,   11,    0
128914,18921125,    0,    0
128914,18921126,    0,    0
128914,18921127,    0,    0
128914,18921128,    2,    0
128914,18921129,   35,    0
128914,18921130,   40,    0
128914,18921201,   99,    0
128914,18921202,   20,    0
128914,18921203,   95,    0
128914,18921204,   47,    0
128914,18921205,  107,    0
128914,18921206,    0,    0
128914,18921207,    0,    0
128914,18921208,   11,    0
128914,18921209,    0,    0
128914,18921210,    0,    0
128914,18921211,    7,    0
128914,18921212,   42,    0
128914,18921213,    0,    0
128914,18921214,   69,    0
128914,18921215,   58,    0
128914,18921216,    2,    0
128914,18921217,   11,    0
128914,18921218,   10,    0
128914,18921219,   64,    0
128914,18921220,   30,    0
128914,18921221,    0,    0
128914,18921222,    0,    0
128914,18921223,    0,    0
128914,18921224,    0,    0
128914,18921225,    6,    0
128914,18921226,    0,    0
128914,18921227,    1,    0
128914,18921228,    2,    0
128914,18921229,    0,    0
128914,18921230,    8,    0
128914,18921231,    0,    0
128914,18930101,   17,    0
128914,18930102,   11,    0
128914,18930103,    0,    0
128914,18930104,   43,    0
128914,18930105,    0,    0
128914,18930106,    0,    0
128914,18930107,    0,    0
128914,18930108,    0,    0
128914,18930109,   13,    0
128914,18930110,    0,    0
128914,18930111,    1,    0
128914,18930112,    4,    0
128914,18930113,   39,    0
128914,18930114,    0,    0
128914,18930115,   14,    0
128914,18930116,   21,    0
128914,18930117,    0,    0
128914,18930118,    0,    0
128914,18930119,    0,    0
128914,18930120,   44,    0
128914,18930121,    8,    0
128914,18930122,    0,    0
128914,18930123,    0,    0
128914,18930124,   42,    0
128914,18930125,    0,    0
128914,18930126,    0,    0
128914,18930127,    0,    0
128914,18930128,    0,    0
128914,18930129,   10,    0
128914,18930130,    7,    0
128914,18930131,   50,    0
128914,18930201,   37,    0
128914,18930202,  160,    0
128914,18930203,    0,    0
128914,18930204,    0,    0
128914,18930205,    0,    0
128914,18930206,    0,    0
128914,18930207,   15,    0
128914,18930208,   73,    0
128914,18930209,   94,    0
128914,18930210,   40,    0
128914,18930211,   37,    0
128914,18930212,   34,    0
128914,18930213,  191,    0
128914,18930214,   97,    0
128914,18930215,    3,    0
128914,18930216,    0,    0
128914,18930217,    0,    0
128914,18930218,   40,    0
128914,18930219,   66,    0
128914,18930220,    9,    0
128914,18930221,   58,    0
128914,18930222,   56,    0
128914,18930223,    0,    0
128914,18930224,    0,    0
128914,18930225,   25,    0
128914,18930226,   11,    0
128914,18930227,   13,    0
128914,18930228,    1,    0
128914,18930301,  154,    0
128914,18930302,   40,    0
128914,18930303,    5,    0
128914,18930304,   46,    0
128914,18930305,    0,    0
128914,18930306,    0,    0
128914,18930307,   36,    0
128914,18930308,    0,    0
128914,18930309,   18,    0
128914,18930310,   27,    0
128914,18930311,    0,    0
128914,18930312,    0,    0
128914,18930313,   38,    0
128914,18930314,   36,    0
128914,18930315,    1,    0
128914,18930316,   45,    0
128914,18930317,   57,    0
128914,18930318,   13,    0
128914,18930319,   17,    0
128914,18930320,    5,    0
128914,18930321,    2,    0
128914,18930322,    0,    0
128914,18930323,    0,    0
128914,18930324,    0,    0
128914,18930325,    0,    0
128914,18930326,    0,    0
128914,18930327,    0,    0
128914,18930328,    0,    0
128914,18930329,    0,    0
128914,18930330,    0,    0
128914,18930331,    0,    0
128914,18930401,    0,    0
128914,18930402,    0,    0
128914,18930403,    0,    0
128914,18930404,    0,    0
128914,18930405,    0,    0
128914,18930406,    0,    0
128914,18930407,    0,    0
128914,18930408,    0,    0
128914,18930409,    0,    0
128914,18930410,    0,    0
128914,18930411,    0,    0
128914,18930412,    4,    0
128914,18930413,    0,    0
128914,18930414,    0,    0
128914,18930415,    0,    0
128914,18930416,    9,    0
128914,18930417,    0,    0
128914,18930418,    0,    0
128914,18930419,    0,    0
128914,18930420,    0,    0
128914,18930421,    0,    0
128914,18930422,    0,    0
128914,18930423,    0,    0
128914,18930424,    0,    0
128914,18930425,    0,    0
128914,18930426,    0,    0
128914,18930427,    0,    0
128914,18930428,    0,    0
128914,18930429,    0,    0
128914,18930430,    0,    0
128914,18930501,   66,    0
128914,18930502,   27,    0
128914,18930503,   40,    0
128914,18930504,    0,    0
128914,18930505,    0,    0
128914,18930506,   16,    0
128914,18930507,    4,    0
128914,18930508,    0,    0
128914,18930509,    0,    0
128914,18930510,    0,    0
128914,18930511,    0,    0
128914,18930512,    0,    0
128914,18930513,    0,    0
128914,18930514,    0,    0
128914,18930515,    0,    0
128914,18930516,   10,    0
128914,18930517,    6,    0
128914,18930518,    3,    0
128914,18930519,    0,    0
128914,18930520,   23,    0
128914,18930521,    0,    0
128914,18930522,    0,    0
128914,18930523,    0,    0
128914,18930524,    0,    0
128914,18930525,   14,    0
128914,18930526,   13,    0
128914,18930527,    0,    0
128914,18930528,    0,    0
128914,18930529,    6,    0
128914,18930530,    0,    0
128914,18930531,    1,    0
128914,18930601,    4,    0
128914,18930602,    0,    0
